Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
110,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,2083,15.6,.603,.489,.296,2.1,11.2,6.8,10.0,0.8,0.3,13.1,25.5,,2.6,1.6,4.2,.096,,1.6,-1.5,0.1,1.1
111,Jarrett Culver\culveja01,SG,20,MIN,63,1506,9.6,.467,.388,.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,,-1.2,1.1,-0.1,-0.004,,-3.3,-0.7,-4.0,-0.8
112,Gorgui Dieng\dienggo01,C,30,TOT,63,1096,17.1,.568,.418,.277,8.5,25.8,17.0,9.7,2.2,4.5,12.8,17.6,,1.3,1.7,2.9,.129,,-0.2,1.8,1.5,1.0
113,Bryn Forbes\forbebr01,SG,26,SAS,63,1579,11.1,.570,.656,.155,0.8,7.8,4.3,9.5,1.0,0.0,8.4,18.5,,1.3,0.3,1.5,.047,,-0.6,-2.1,-2.7,-0.3
114,Devonte' Graham\grahade01,PG,24,CHO,63,2211,15.8,.537,.607,.242,2.0,8.7,5.2,35.3,1.4,0.6,14.5,24.8,,2.4,0.9,3.4,.073,,2.5,-2.1,0.5,1.4
115,JaMychal Green\greenja01,PF,29,LAC,63,1307,11.1,.576,.676,.136,6.3,24.1,15.4,5.0,1.0,1.6,12.6,13.7,,1.1,2.0,3.1,.115,,-1.2,0.7,-0.5,0.5
116,Montrezl Harrell\harremo01,C,26,LAC,63,1749,23.2,.607,.022,.432,9.9,16.3,13.2,10.3,1.1,3.6,10.1,25.7,,4.4,2.5,7.0,.191,,2.5,0.5,2.9,2.2
117,Danuel House\houseda01,SF,26,HOU,63,1913,11.3,.572,.659,.167,3.1,11.6,7.3,6.1,1.6,1.5,8.5,13.7,,1.9,1.8,3.6,.091,,-0.8,0.0,-0.7,0.6
118,De'Andre Hunter\huntede01,SF,22,ATL,63,2018,8.6,.521,.445,.211,2.3,13.1,7.6,8.0,1.0,0.7,12.1,17.5,,-0.4,0.5,0.1,.002,,-2.9,-1.8,-4.7,-1.4
119,Ersan İlyasova\ilyaser01,PF,32,MIL,63,986,14.9,.589,.438,.278,6.6,22.7,15.1,6.6,1.1,1.5,8.8,16.1,,1.6,2.0,3.6,.174,,-0.3,0.8,0.4,0.6
120,Trey Lyles\lylestr01,PF,24,SAS,63,1271,12.6,.557,.490,.131,6.0,24.6,15.3,7.2,1.1,1.9,9.7,13.6,,1.2,1.0,2.2,.083,,-0.5,-0.7,-1.2,0.3
